Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1497347,-,-,-,43.73,-65.98,-4,8,-4,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Surface Albedo
2012,1,1,0,30,0,0,0,6,7,1000,100,329.20000000000005,6.9,0.082
2012,1,1,1,30,0,0,0,6,6,1000,100,328.70000000000005,8.9,0.082
2012,1,1,2,30,0,0,0,4,5,1000,100,331.90000000000003,10.100000000000001,0.082
2012,1,1,3,30,0,0,0,4,4,1000,100,335.1,10.5,0.082
2012,1,1,4,30,0,0,0,2,4,1000,100,332.90000000000003,10.600000000000001,0.082
2012,1,1,5,30,0,0,0,2,3,1000,100,332.1,10.3,0.082
2012,1,1,6,30,0,0,0,2,3,1000,97.32000000000001,332.8,9.700000000000001,0.082
2012,1,1,7,30,0,0,0,2,3,1010,94.96000000000001,331.6,9.200000000000001,0.082
2012,1,1,8,30,0,2,2,2,3,1010,93.39,329.70000000000005,8.9,0.082
2012,1,1,9,30,0,18,18,1,3,1010,92.92,325.6,8.5,0.082
2012,1,1,10,30,0,45,45,1,4,1010,92.61,324.1,8,0.082
2012,1,1,11,30,0,82,82,1,4,1010,85.95,324.20000000000005,7.4,0.082
2012,1,1,12,30,0,78,78,1,4,1010,85.45,324.6,6.800000000000001,0.082
2012,1,1,13,30,0,73,73,1,4,1010,85.02,328.40000000000003,6,0.082
2012,1,1,14,30,0,57,57,1,4,1010,84.44,332.70000000000005,4.800000000000001,0.082
2012,1,1,15,30,0,33,33,1,3,1010,89.54,335.40000000000003,3.3000000000000003,0.082
2012,1,1,16,30,0,7,7,1,3,1010,87.10000000000001,332.3,1.7000000000000002,0.082
2012,1,1,17,30,0,0,0,0,3,1010,89.35000000000001,317.20000000000005,0.9,0.082
2012,1,1,18,30,0,0,0,0,2,1010,88.97,188.70000000000002,1.7000000000000002,0.082
2012,1,1,19,30,0,0,0,0,2,1010,91.17,171.4,3,0.082
2012,1,1,20,30,0,0,0,1,2,1010,94.2,162.10000000000002,4.3,0.082
2012,1,1,21,30,0,0,0,1,2,1010,98.23,159.60000000000002,5.4,0.082
2012,1,1,22,30,0,0,0,2,3,1010,100,161.5,6.1000000000000005,0.082
2012,1,1,23,30,0,0,0,2,3,1010,98.22,168.70000000000002,6.5,0.082
2012,1,2,0,30,0,0,0,3,4,1010,96.05,173.3,6.9,0.082
2012,1,2,1,30,0,0,0,4,4,1010,100,169.4,7.5,0.082
2012,1,2,2,30,0,0,0,4,5,1000,98.88,167.8,8.3,0.082
2012,1,2,3,30,0,0,0,5,6,1000,96.94,167.70000000000002,9.1,0.082
2012,1,2,4,30,0,0,0,6,6,1000,100,164.5,9.8,0.082
2012,1,2,5,30,0,0,0,6,7,1000,97.60000000000001,164.3,10.600000000000001,0.082
2012,1,2,6,30,0,0,0,7,7,1000,100,167.70000000000002,11.200000000000001,0.082
2012,1,2,7,30,0,0,0,7,8,1000,99.87,176,11.200000000000001,0.082
2012,1,2,8,30,0,18,18,8,9,1000,98.11,191.4,10.100000000000001,0.082
2012,1,2,9,30,0,54,54,9,9,990,100,204.3,8.6,0.082
2012,1,2,10,30,95,127,157,9,9,990,100,216.10000000000002,7.9,0.082
2012,1,2,11,30,115,164,208,9,9,990,100,225,8.1,0.082
2012,1,2,12,30,686,98,370,8,8,990,100,239.10000000000002,9,0.082
2012,1,2,13,30,714,87,352,6,7,990,98.18,250.3,9.700000000000001,0.082
2012,1,2,14,30,683,73,281,4,7,990,82.99,250.70000000000002,10.4,0.082
2012,1,2,15,30,551,56,164,2,6,1000,78.51,250.60000000000002,10.8,0.082
2012,1,2,16,30,220,23,36,1,5,1000,77.76,251,10.700000000000001,0.082
2012,1,2,17,30,0,0,0,0,5,1000,73.48,252.60000000000002,10.200000000000001,0.082
2012,1,2,18,30,0,0,0,0,5,1000,70.55,255.9,9.8,0.082
2012,1,2,19,30,0,0,0,0,5,1000,67.97,259.1,9.3,0.082
2012,1,2,20,30,0,0,0,0,5,1000,70.62,260.2,9,0.082
2012,1,2,21,30,0,0,0,-1,4,1000,69.63,260.8,8.700000000000001,0.082
2012,1,2,22,30,0,0,0,-1,4,1000,69.46000000000001,260.40000000000003,8.5,0.082
2012,1,2,23,30,0,0,0,-1,4,1000,69.55,259.6,8.4,0.082
2012,1,3,0,30,0,0,0,-1,4,1000,69.39,258.90000000000003,8.3,0.082
2012,1,3,1,30,0,0,0,-1,4,1000,68.94,258.5,8.200000000000001,0.082
2012,1,3,2,30,0,0,0,-1,4,1000,68.47,259.3,8,0.082
2012,1,3,3,30,0,0,0,-1,4,1000,68.03,260.8,7.7,0.082
2012,1,3,4,30,0,0,0,-1,4,1000,67.46000000000001,263.2,7.5,0.082
2012,1,3,5,30,0,0,0,-1,3,1000,72.09,265.7,7.300000000000001,0.082
2012,1,3,6,30,0,0,0,-1,3,1000,72.48,268.7,7.2,0.082
2012,1,3,7,30,0,0,0,-1,3,1000,72.7,273.7,6.9,0.082
2012,1,3,8,30,248,27,44,-1,3,1000,72.92,280,6.4,0.082
2012,1,3,9,30,7,74,75,-1,3,1000,73.2,286.1,5.800000000000001,0.082
2012,1,3,10,30,704,74,293,-1,3,1000,71.23,286.7,5.4,0.082
2012,1,3,11,30,241,154,245,-2,3,1000,69.52,283.40000000000003,5.4,0.082
2012,1,3,12,30,204,168,250,-2,2,1000,73.74,288.5,5.9,0.082
2012,1,3,13,30,69,155,181,-2,2,1000,72.94,300,6.5,0.082
2012,1,3,14,30,428,97,229,-2,1,1000,77.36,306.90000000000003,7,0.082
2012,1,3,15,30,0,69,69,-2,0,1000,81.7,310.3,7.300000000000001,0.082
2012,1,3,16,30,0,15,15,-3,0,1000,79.7,314.6,7.4,0.082
2012,1,3,17,30,0,0,0,-3,0,1000,76.72,321.90000000000003,7.4,0.082
2012,1,3,18,30,0,0,0,-4,0,1000,73.97,328.8,7.6000000000000005,0.082
2012,1,3,19,30,0,0,0,-4,0,1000,77.25,335.20000000000005,8,0.082
2012,1,3,20,30,0,0,0,-4,-1,1010,75.57000000000001,337.90000000000003,8.5,0.866
2012,1,3,21,30,0,0,0,-5,-1,1010,79.26,340.70000000000005,8.9,0.866
2012,1,3,22,30,0,0,0,-5,-2,1000,76.85000000000001,342.3,9.3,0.866
2012,1,3,23,30,0,0,0,-5,-2,1000,80.02,343,9.700000000000001,0.866
2012,1,4,0,30,0,0,0,-6,-3,1000,77.37,341.6,10.200000000000001,0.866
2012,1,4,1,30,0,0,0,-6,-4,1000,80.29,344.5,10.600000000000001,0.866
2012,1,4,2,30,0,0,0,-7,-4,1000,78.25,347.8,10.100000000000001,0.866
2012,1,4,3,30,0,0,0,-7,-4,1010,83.85000000000001,344.5,9.200000000000001,0.866
2012,1,4,4,30,0,0,0,-7,-5,1010,83.46000000000001,343.1,9,0.866
2012,1,4,5,30,0,0,0,-7,-5,1010,82.55,342.70000000000005,9.5,0.866
2012,1,4,6,30,0,0,0,-7,-5,1010,81.71000000000001,340.70000000000005,9.8,0.866
2012,1,4,7,30,0,0,0,-7,-5,1010,81.47,337.8,10,0.866
2012,1,4,8,30,0,22,22,-7,-5,1010,81.60000000000001,334.5,10.100000000000001,0.866
2012,1,4,9,30,29,77,83,-7,-5,1010,82.45,330.70000000000005,10.100000000000001,0.866
2012,1,4,10,30,125,128,167,-7,-4,1010,83.8,325.3,10.200000000000001,0.866
2012,1,4,11,30,224,156,241,-7,-4,1010,78.89,320.1,10.200000000000001,0.866
2012,1,4,12,30,256,171,274,-6,-4,1010,80.03,316.1,9.9,0.866
2012,1,4,13,30,55,156,177,-6,-4,1010,80.85000000000001,312,9.600000000000001,0.866
2012,1,4,14,30,88,126,153,-6,-4,1010,80.99,307.20000000000005,9.1,0.866
2012,1,4,15,30,103,77,98,-6,-3,1010,80.66,303,8.700000000000001,0.866
2012,1,4,16,30,7,23,23,-6,-3,1010,74.15,298.8,8.4,0.866
2012,1,4,17,30,0,0,0,-7,-3,1010,73.61,296.1,8.3,0.866
2012,1,4,18,30,0,0,0,-7,-2,1010,73.29,296.2,7.9,0.866
2012,1,4,19,30,0,0,0,-7,-2,1010,67.7,296.7,7.4,0.866
2012,1,4,20,30,0,0,0,-7,-2,1010,67.56,296.40000000000003,6.7,0.866
2012,1,4,21,30,0,0,0,-7,-2,1010,67.65,293.6,6.1000000000000005,0.866
2012,1,4,22,30,0,0,0,-7,-2,1010,67.96000000000001,286.3,5.6000000000000005,0.866
2012,1,4,23,30,0,0,0,-6,-2,1010,69.4,275.40000000000003,5.6000000000000005,0.866
2012,1,5,0,30,0,0,0,-6,-1,1010,67.64,266.3,5.800000000000001,0.866
2012,1,5,1,30,0,0,0,-5,0,1010,67.04,259.6,6,0.866
2012,1,5,2,30,0,0,0,-4,0,1010,71.5,253.8,6.300000000000001,0.866
2012,1,5,3,30,0,0,0,-3,0,1010,76.14,247.60000000000002,6.5,0.866
2012,1,5,4,30,0,0,0,-2,0,1010,80.56,241.8,6.5,0.866
2012,1,5,5,30,0,0,0,-2,0,1010,84.10000000000001,236.60000000000002,6.5,0.866
2012,1,5,6,30,0,0,0,-1,1,1010,80.8,231.8,6.7,0.866
2012,1,5,7,30,0,0,0,-1,1,1000,83.53,228.60000000000002,6.9,0.866
2012,1,5,8,30,0,21,21,0,2,1000,81.48,228.8,7.4,0.866
2012,1,5,9,30,141,79,108,0,3,1000,85.27,232.4,8,0.866
2012,1,5,10,30,0,102,102,0,3,1000,80.28,236.8,8.5,0.866
2012,1,5,11,30,0,124,124,0,3,1000,84.86,239.70000000000002,8.6,0.866
2012,1,5,12,30,39,161,176,0,3,1000,81.87,242.70000000000002,8.3,0.866
2012,1,5,13,30,53,167,187,-1,3,1000,79.8,247.4,8,0.866
2012,1,5,14,30,68,125,147,-1,2,1000,79.01,255,7.6000000000000005,0.866
2012,1,5,15,30,78,78,94,-1,2,1000,79.10000000000001,262.8,7.300000000000001,0.866
2012,1,5,16,30,0,22,22,-1,2,1000,79.85000000000001,268.5,7.2,0.866
2012,1,5,17,30,0,0,0,0,2,1000,80.92,273.1,7.300000000000001,0.866
2012,1,5,18,30,0,0,0,0,2,1000,81.74,277.7,7.4,0.866
2012,1,5,19,30,0,0,0,0,2,1000,82.25,286.6,7.6000000000000005,0.866
2012,1,5,20,30,0,0,0,0,1,1000,87.22,298.1,7.800000000000001,0.082
2012,1,5,21,30,0,0,0,-1,1,1000,84.3,308.40000000000003,7.7,0.082
2012,1,5,22,30,0,0,0,-2,0,1000,86.17,314.1,7.4,0.082
2012,1,5,23,30,0,0,0,-2,0,1000,81.74,315.6,7.1000000000000005,0.082
2012,1,6,0,30,0,0,0,-3,0,1000,77.9,315,7.2,0.082
2012,1,6,1,30,0,0,0,-3,0,1010,75.81,315.6,7.5,0.082
2012,1,6,2,30,0,0,0,-4,0,1010,73.67,316.90000000000003,7.5,0.082
2012,1,6,3,30,0,0,0,-4,0,1010,71.71000000000001,317.5,7,0.082
2012,1,6,4,30,0,0,0,-4,-1,1010,75.18,318.1,6.300000000000001,0.082
2012,1,6,5,30,0,0,0,-5,-1,1010,73.61,317.1,5.7,0.082
2012,1,6,6,30,0,0,0,-5,-1,1010,72.83,316.6,5.4,0.082
2012,1,6,7,30,0,0,0,-5,-1,1010,77.63,317.5,5.1000000000000005,0.082
2012,1,6,8,30,281,26,46,-5,-1,1010,76.5,318.40000000000003,5,0.082
2012,1,6,9,30,591,55,179,-5,-1,1010,68.87,320.5,4.7,0.082
2012,1,6,10,30,732,68,298,-6,-1,1010,67.59,318.5,4.3,0.082
2012,1,6,11,30,798,73,376,-6,-1,1010,67.32000000000001,316.90000000000003,3.9000000000000004,0.082
2012,1,6,12,30,803,77,401,-6,0,1010,66.42,312.3,3.3000000000000003,0.082
2012,1,6,13,30,52,155,175,-6,0,1010,60.69,303.5,2.5,0.082
2012,1,6,14,30,0,54,54,-6,0,1010,59.92,290.5,1.6,0.082
2012,1,6,15,30,0,38,38,-6,0,1010,59.56,253.9,1.2000000000000002,0.082
2012,1,6,16,30,0,8,8,-5,0,1010,64.81,175.3,2,0.082
2012,1,6,17,30,0,0,0,-4,0,1010,72.2,163.70000000000002,3.3000000000000003,0.082
2012,1,6,18,30,0,0,0,-2,0,1010,80.24,164.9,4.4,0.082
2012,1,6,19,30,0,0,0,-1,0,1010,87.12,164.20000000000002,5.5,0.082
2012,1,6,20,30,0,0,0,0,1,1010,87.17,163.4,6.300000000000001,0.082
2012,1,6,21,30,0,0,0,0,2,1010,93.15,162.9,6.9,0.082
2012,1,6,22,30,0,0,0,0,2,1000,92.62,162.3,7.1000000000000005,0.082
2012,1,6,23,30,0,0,0,1,3,1000,92.17,164.70000000000002,6.7,0.082
2012,1,7,0,30,0,0,0,2,3,1000,98.59,172.20000000000002,5.6000000000000005,0.082
2012,1,7,1,30,0,0,0,3,4,1000,98,186,4.6000000000000005,0.082
2012,1,7,2,30,0,0,0,4,4,1000,100,211.8,4,0.082
2012,1,7,3,30,0,0,0,4,4,1000,100,247.70000000000002,4.2,0.082
2012,1,7,4,30,0,0,0,4,4,1000,100,270.90000000000003,4.4,0.082
2012,1,7,5,30,0,0,0,4,4,1000,100,278.6,4.1000000000000005,0.082
2012,1,7,6,30,0,0,0,4,5,1000,100,276.90000000000003,3.4000000000000004,0.082
2012,1,7,7,30,0,0,0,4,5,1000,100,266.1,2.7,0.082
2012,1,7,8,30,247,26,43,4,5,1000,100,241.9,2.5,0.082
2012,1,7,9,30,563,55,172,4,5,1000,97.74000000000001,215.60000000000002,2.7,0.082
2012,1,7,10,30,182,128,185,5,6,1000,94.55,199.70000000000002,2.9000000000000004,0.082
2012,1,7,11,30,752,77,364,5,6,1000,96.83,184.9,3.2,0.082
2012,1,7,12,30,766,80,390,5,7,1000,98.59,169.10000000000002,3.9000000000000004,0.082
2012,1,7,13,30,751,77,364,6,7,1000,100,161.10000000000002,4.9,0.082
2012,1,7,14,30,693,71,289,6,6,1000,100,161,5.6000000000000005,0.082
2012,1,7,15,30,547,58,173,4,5,1000,100,169,5.800000000000001,0.082
2012,1,7,16,30,235,27,44,4,5,1000,100,182.70000000000002,5.9,0.082
2012,1,7,17,30,0,0,0,4,5,1000,100,197.9,6.1000000000000005,0.082
